query_id,query,E3_rank,E4_rank,delta
q_e52142cb92b58d74,"Tìm hình ảnh một chặng đua xe đạp trên đường phố, phía trước có cổng đích màu đỏ lớn bắc ngang đường, nhiều vận động viên và xe mô tô đang tiến về phía đích, hai bên đường có đông khán giả đứng cổ vũ dưới hàng cây xanh.",54,67,-13
q_4a2bdbb146be8a0b,"Tìm hình ảnh khu chung cư có xe cảnh sát và khu vực được căng dây phong tỏa; bản tin hiển thị nội dung “Điều tra vụ cô gái người nước ngoài rơi chung cư tử vong”, trong khi lời dẫn cũng nhắc đến nghiên cứu trồng rêu trên mái nhà để giảm nhiệt độ của thành phố.",1,1,0
q_c78e038f835addaf,"Tìm hình ảnh một khu phố đông người và xe máy qua lại, hai bên đường có nhiều cửa hàng, biển hiệu và dây điện chằng chịt; phía xa nổi bật các công trình tôn giáo có mái và tháp trang trí nhiều màu.",1,10,-9
q_a998b9d5dcfa840c,"Tìm hình ảnh khu vực công trình có một hố đào rất sâu chứa nước, phía trên có máy xúc đang thi công; bản tin hiển thị nội dung “Hà Nội: Huyện Chương Mỹ vẫn còn 16 thôn, xóm đang bị ngập”, trong khi lời dẫn đề cập việc xây tường cao gần 2 m, đào hồ điều hòa và lắp trạm bơm nước.",1,1,0
q_8a965496eaf2b7cf,"Tìm hình ảnh một bia đá đặt tại khu vực đền/chùa trên núi, xung quanh có lan can và đồ trang trí thờ cúng; trên bia có dòng chữ “Bệ đá sa thạch ở đỉnh Núi Sam này là nơi ngự của tượng Bà Chúa Xứ ngày xưa”.",1,1,0
q_cc8960fc90175a21,"Tìm hình ảnh bên trong xe buýt điện, có nhân viên và hành khách đeo khẩu trang; bản tin hiển thị nội dung “Tiếp tục thí điểm xe buýt điện tại TP.HCM”, trong khi lời dẫn đề cập chủ trương tiếp tục thí điểm vận tải hành khách công cộng bằng xe buýt điện trên địa bàn thành phố.",3,4,-1
q_3232beb9a65d9540,"Tìm hình ảnh một người đàn ông và một phụ nữ đang trao đổi trong cửa hàng đặc sản, giữa hai người có khay sả và nhiều gói thực phẩm; phía sau có các bảng ghi “Bún bò”, “Dưa kiệu”, “Cá kho đường”, “Mắm mòng gà”, “Mực trứng”, “Tôm chua” và biển VNPT chấp nhận thanh toán.",13,11,2
q_af41019bc369cb18,"Tìm hình ảnh một giáo viên nam mặc áo sơ mi trắng, đeo cà vạt tím đang giảng bài Hóa học trước màn hình “Bài tập áp dụng”; nội dung trên slide hỏi phương pháp điều chế kim loại Ca từ CaCl₂ và đáp án là điện phân CaCl₂ nóng chảy, trong khi lời giảng nhắc đến chương trình học trực tuyến môn Hóa học của báo Thanh Niên.",15,15,0
q_e53426e3c35abee1,"Tìm hình ảnh một phụ nữ đứng quan sát các bức thư pháp và tranh cổ được treo trong một công trình mang kiến trúc đền miếu; lời thuyết minh nhắc đến năm 1735, Mạc Thiên Tích kế nghiệp cha và được nhà Nguyễn phong làm Tổng binh Đại đô đốc cai quản trấn Hà Tiên.",1,1,0
q_f613c903c758eccc,"Tìm hình ảnh ông Vũ Hoàng Anh đang trả lời phỏng vấn tại khu vực dự án xây dựng cầu Tăng Long, phía sau có bảng tiến độ công trình; bản tin hiển thị chức danh Phó ban điều hành dự án đường bộ 2, Ban QLDA đầu tư xây dựng các công trình giao thông TP.HCM, trong khi lời nói đề cập việc mở rộng phần đường, di dời hệ thống điện và phấn đấu hoàn thành toàn bộ vào ngày 15 tháng 8.",2,2,0
q_36cf7dd072f72d4d,"Tìm hình ảnh một con đường khu dân cư có xe máy và ô tô lưu thông, hai bên là nhà dân và cửa hàng; lời thuyết minh nói về việc trồng chanh gần bờ sông để thuận tiện vận chuyển bằng ghe sau khi thu hoạch.",1,1,0
q_5ae4729648cd6455,"Tìm hình ảnh thầy giáo Trần Ngọc Anh đang giảng bài Địa lí về vùng Bắc Trung Bộ trong chương trình ôn thi THPT 2024; trên slide có nội dung về điều kiện tự nhiên, sông Mã, sông Cả, khoáng sản và tài nguyên du lịch, trong khi lời giảng nhắc đến các bãi tắm Cửa Lò, Thiên Cầm, Lăng Cô và di sản thiên nhiên Phong Nha – Kẻ Bàng.",1,1,0
q_f861ce707cb2a3b7,"Tìm hình ảnh hai MC nam và nữ đang dẫn bản tin trong trường quay với phông nền thành phố màu cam; lời dẫn đề cập mức tăng mạnh ở các lĩnh vực khoa học, giáo dục và đào tạo giáo viên, cùng sự quan tâm của học sinh đối với ngành sư phạm nhờ chính sách hỗ trợ sinh hoạt phí và học phí.",3,3,0
q_707eb304d7c0798b,"Tìm hình ảnh một người đàn ông và một phụ nữ đang ngồi trao đổi trong cơ sở sản xuất thực phẩm, xung quanh có nhiều túi sản phẩm đóng gói và máy móc chế biến; lời nói đề cập sự vất vả của người dân khi làm các món ăn, đặc biệt là làm cá khô để đưa ra thị trường.",1,1,0
q_d8c23ddbe8f7a42f,"Tìm hình ảnh hai người đàn ông mặc áo trắng đứng cạnh nhau giữa một nhóm đông người mặc áo đỏ; một người đội khăn trắng trên đầu, cả hai đang được phỏng vấn ngoài trời.",52,65,-13
q_8564465943efc30c,Tìm hình ảnh một người đàn ông mặc áo xanh đeo kính đang trò chuyện với một phụ nữ tại cửa hàng đặc sản; lời nói đề cập các đặc sản của vùng biển Cà Mau và việc tham quan những sản phẩm đặc trưng khác của khu vực.,1,1,0
q_221e7a2d54ae944f,"Tìm hình ảnh đông người tham gia lễ hội dưới băng rôn có chữ “Thủy sản Quốc Đạt” và “Lễ hội Nghinh Ông”; lời thuyết minh nhắc đến Ông Nam Hải tại thị trấn Sông Đốc, thể hiện khát vọng bình yên trong cuộc sống và những chuyến ra khơi thu hoạch thuận lợi.",1,1,0
q_58744222841b482c,"Tìm hình ảnh mô phỏng tuyến Vành đai 2 TP.HCM, đoạn từ cầu Phú Hữu đến đường Võ Nguyên Giáp, trên bản đồ có các vị trí cầu Phú Hữu, rạch Chiếc, đường Võ Chí Công và trạm biến áp 220kV Công nghệ cao; lời thuyết minh đề cập dự án nhận được sự đồng thuận của nhiều người dân dù phải rời nơi ở đã gắn bó hơn 20 năm.",1,1,0
q_0a1a7b395b0e24ba,"Tìm hình ảnh thầy Lê Minh Huy, giáo viên môn Toán Trường THPT Nguyễn Hiền, đang giảng bài trước laptop; trên màn hình là bài toán xác suất chia 9 học sinh thành 3 tổ, yêu cầu mỗi tổ có đúng 1 nữ, trong khi lời giảng kết thúc ví dụ số 5 và tổng kết các bài tập về xác suất trong chuyên đề.",2,2,0
q_ed442a10864450f9,"Tìm hình ảnh bản đồ khu vực miền Trung và Biển Đông có các điểm đánh dấu động đất; bản tin hiển thị nội dung “Lại xuất hiện 4 trận động đất liên tiếp ở Kon Tum”, trong khi lời thuyết minh nhắc đến Trung tâm Báo tin động đất và Cảnh báo sóng thần cùng việc các chuyên gia địa vật lý tiếp tục theo dõi các trận động đất.",1,1,0
q_3cac42d635c73c00,"Tìm hình ảnh một quán cà phê vào buổi tối có nhiều xe máy và một xe ba bánh đậu trước cửa; trên bảng có chữ “COFFEE KHUYẾT” và “Kính chào quý khách”, trong khi lời thuyết minh nói về một nhóm người ngồi trên xe ba bánh mở cửa quán cà phê để chuẩn bị cho một ngày mưu sinh mới tại Đồng Nai.",1,1,0
q_b94574d444272c04,"Tìm hình ảnh các tay đua xe đạp đang thi đấu trên đường phố, hai bên có đông khán giả đứng cổ vũ; lời bình nhắc đến tay đua Nguyễn Hòa, vị trí thứ năm và cuộc cạnh tranh trong chặng đua của Cúp Truyền hình TP.HCM.",3,2,1
q_730d34c063ce8670,"Tìm hình ảnh các em nhỏ đứng trong lớp học dưới cổng bóng bay đỏ trắng tại lễ khai giảng năm học 2024–2025; phía trước có người lớn đang trao quà, trong khi lời thuyết minh nhắc đến việc tặng tập, bút, sách vở và gấu bông cho các em có hoàn cảnh khó khăn.",1,1,0
q_daf9fe8716ae10a0,"Tìm hình ảnh ruộng hành lá xanh tốt với nhiều luống cây mọc dày; lời thuyết minh đề cập người trong độ tuổi lao động chưa có việc làm ổn định và địa phương tổ chức định hướng nghề, giới thiệu việc làm gắn với lợi thế sản xuất tại địa phương.",4,3,1
q_dc737e4159325db5,"Tìm hình ảnh đông trẻ em và người lớn tham gia hoạt động Trung thu ngoài trời, xung quanh có các gian hàng và quà tặng; trên màn hình có dòng “Cuộc thi Lan tỏa năng lượng tích cực 2024: Trung thu ý nghĩa”, trong khi lời thuyết minh nói về việc động viên tinh thần, tạo điều kiện cho thiếu nhi có một mùa Trung thu ý nghĩa và sự phối hợp của câu lạc bộ sân khấu XDrama với các mạnh thường quân.",2,2,0
q_f6809540ca19cfb2,"Tìm hình ảnh bia tưởng niệm Nguyễn Hữu Cảnh tại một khu di tích, trên bia ghi ông là người khai phá và trấn giữ vùng đất mới phía Nam Tổ quốc, nay là Cù lao Ông Chưởng thuộc huyện Chợ Mới, tỉnh An Giang; lời thuyết minh cho biết sau khi ông mất, người dân đổi tên vùng đất thành Cù lao Ông Chưởng để tưởng nhớ công đức của ông.",2,2,0
q_61dc5aa352667bea,Tìm hình ảnh một nữ MC mặc áo vàng đang đứng tại khu vui chơi có biển “Học sinh được giảm 20K/vé” và khu xe trượt núi; lời thuyết minh giới thiệu khu vực đối diện bãi bên núi có máng xe trượt để đưa du khách lên núi Tà Pạ.,2,1,1
q_57a03c45c3fcc1a4,"Tìm hình ảnh bảng hiệu lớn của HTX NN Cá Khô Bổi Tư Hùng, trên bảng có dòng “Thương hiệu cá khô bổi U Minh” và địa chỉ tại ấp 3, xã Trần Hợi, huyện Trần Văn Thời, tỉnh Cà Mau.",1,1,0
q_fe70103f21632d4a,"Tìm hình ảnh một nhóm đông tay đua xe đạp đang lao về phía cổng đích màu đỏ trên đường phố, hai bên có đông khán giả và phóng viên; lời bình nhắc đến cuộc cạnh tranh nước rút và tay đua Lê Nguyệt Minh tận dụng cơ hội để có vị trí thuận lợi.",1,1,0
q_f0485a2009013993,"Tìm hình ảnh một nhóm cán bộ và nhân viên y tế đứng chụp ảnh tại khu vực bệnh viện, trong đó một nữ bác sĩ mặc áo blouse trắng đang cầm bó hoa; lời thuyết minh nói về chương trình đào tạo thực hành tại bệnh viện kết hợp với thực hành ở trạm y tế, giúp các bác sĩ trẻ có thêm những trải nghiệm cần thiết.",2,2,0
q_1388bd26f11afc4e,"Tìm hình ảnh một bức tường treo nhiều bằng khen, ảnh lưu niệm và tranh, bên cạnh có bảng thông tin về hoạt động học bổng; lời thuyết minh nói về việc phấn đấu làm công tác thiện nguyện xã hội và nhắc đến một hoạt động vừa diễn ra tại Nhà hát Quân đội, số 40 đường Cộng Hòa.",1,1,0
q_5f877b4399169c61,"Tìm hình ảnh một nhóm nam thanh niên mặc trang phục rằn ri xanh đang đứng sát nhau trên sân khấu; bên cạnh có áp phích màu đỏ với cờ Đảng, cờ Việt Nam và dòng chữ “Nhiệt liệt chào mừng 94 năm ngày thành lập Đảng Cộng sản Việt Nam”, cùng nội dung “Chủ tịch Hồ Chí Minh vĩ đại sống mãi trong sự nghiệp của chúng ta”.",3,3,0
q_4cf358979df60f9b,"Tìm hình ảnh một người đàn ông mặc áo đen đang trả lời phỏng vấn, phía sau là phông nền hình tháp gạch; trên màn hình ghi “Phan Quốc Dương – Trưởng đoàn Lân Sư Rồng Tân Dương – Vĩnh Long”, trong khi lời nói đề cập Cúp Chợ Lớn 2024 và việc sân đấu lần đầu tiên tại Việt Nam được nâng cao khoảng 1 mét.",1,1,0
q_5b547cc4097c4d8a,"Tìm hình ảnh khu vực tổ chức sự kiện ngoài trời với logo “Quận 5 – Chợ Lớn” và mô hình đầu lân, phía sau có các bảng trưng bày; trên màn hình có nội dung về “Giải Lân Sư Rồng mở rộng năm 2024” và “Cúp Chợ Lớn – HTV”.",35,31,4
q_7efeeb84caf96d85,"Tìm hình ảnh cánh đồng lúa xanh rộng lớn với núi ở phía xa; trên màn hình có nội dung giới thiệu Châu Đốc với thế “tiền tam giang, hậu thất lĩnh” và kênh đào Vĩnh Tế nối sông Hậu đến biển Hà Tiên, trong khi lời thuyết minh nói về vị trí chiến lược của vùng này và việc xây dựng nhiều công trình quân sự, dân sự từ thời nhà Nguyễn.",2,2,0
q_d054b0bc481e6b5e,"Tìm hình ảnh các công nhân Công ty Công viên Cây xanh đang làm việc cạnh một cây lớn và xe tải chuyên dụng; trên xe có dòng chữ “Công ty Công viên Cây xanh”, trong khi lời thuyết minh đề cập việc xác định trách nhiệm của các tổ chức, cá nhân liên quan đến sự cố cây xanh gãy đổ gây thiệt hại về tính mạng và sức khỏe người dân.",4,4,0
q_2bf8758ffd694537,"Tìm hình ảnh một bé gái đang ngồi trong lớp học cùng hai người lớn bên bàn tròn nhiều màu; lời thuyết minh nhắc đến bé Lê Ngô, học sinh lớp 1B Trường Tiểu học Phú Thuận A1, huyện Hồng Ngự, Đồng Tháp và những đau thương do bão lũ, sạt lở gây ra.",1,1,0
q_d2dc1b0b2918cadd,"Tìm hình ảnh một bàn thờ tưởng niệm có bài vị, bát hương, hoa và đồ thờ cúng; lời thuyết minh cho biết nhiều anh em, đồng chí và đồng đội đã đến đây, nên gia đình xin chủ trương lập một ngôi miếu làm nơi thờ cúng.",1,1,0
q_d3f2fb68471e9cbb,"Tìm hình ảnh đôi tay đang cầm và mở một cuốn sách, người đọc dùng ngón tay chỉ vào trang sách; lời thuyết minh nhắc đến sự ủng hộ của đồng đội cả nước, việc mạnh dạn xuất bản sách và dùng tiền nhuận bút để trả khoản nợ 4 triệu đồng.",2,2,0
q_9018c34d53a935b0,"Tìm hình ảnh bản đồ khu vực miền Tây Nam Bộ với tuyến Kênh Thoại Hà nối từ Rạch Giá đến Long Xuyên, xung quanh có các địa danh Châu Đốc, Hà Tiên, Cần Thơ và Sa Đéc; lời thuyết minh nói về chính sách khai hoang của nhà Nguyễn và việc đào Kênh Thoại Hà để khai phá vùng đất giữa Long Xuyên và Rạch Giá.",2,2,0
q_2502a3fd7d5ae6e9,"Tìm hình ảnh Trần Thái Định, sinh viên năm 2 khoa Quan hệ công chúng và Truyền thông, Đại học Văn Lang, đang trả lời phỏng vấn trước phông nền màu xanh; lời nói đề cập chủ đề ô nhiễm không khí khá khô khan và việc lồng ghép nhạc kịch để nội dung dễ tiếp cận với giới trẻ hơn.",2,2,0
q_351b1b467391301c,Tìm hình ảnh một nhóm người đang đi cùng cán bộ quân đội mặc quân phục và đội mũ bảo hộ tại khu dân cư; lời thuyết minh đề cập việc thông báo trước 6 tiếng và công văn bảo đảm an toàn hạ du được gửi đến Công ty Cổ phần Thủy điện Thác Bà cùng UBND các tỉnh Yên Bái và Phú Thọ.,2,2,0
q_55e7beebeeb01a99,"Tìm hình ảnh bên trong một ngôi đình hoặc miếu cổ được trang trí nhiều hoành phi, câu đối và cột chạm khắc sơn son thếp vàng; lời thuyết minh nói về những đình chùa dọc sông Mekong, sự tinh mỹ của các công trình và việc gìn giữ những giá trị văn hóa qua hoành phi, liễn và câu đối chữ Hán.",1,1,0
q_ea54f8953b8b632a,"Tìm hình ảnh một nhóm thanh niên đứng ngoài trời gần khu vực có mái che, trong đó một người mặc áo xanh nhạt đứng phía trước đang đưa tay lên mặt, phía sau có một nam thanh niên mặc áo xám và một phụ nữ mặc áo khoác jean đang trò chuyện.",1,12,-11
q_92f8f49ddef0adcd,"Tìm hình ảnh một trọng tài nam mặc áo xanh vàng đang ngồi ở bàn chấm điểm và giơ cao bảng điểm 8,5; xung quanh có đông khán giả, phía sau là khu vực sân khấu thi đấu vào buổi tối.",1,1,0
q_6f918c702204d542,"Tìm hình ảnh lối vào một vườn trầu ở vùng quê, phía trên có bảng “Nghề truyền thống Vườn trầu ấp 5, xã Vị Thủy, huyện Vị Thủy, Hậu Giang”; lời thuyết minh nói về việc ghé thăm vườn trầu của gia đình chú Bảy Đời và gia đình đang cùng nhau xuống trầu.",3,3,0
q_bcd30b4216d7ca74,"Tìm hình ảnh các công nhân đang bốc xếp nhiều bao phân bón trong một nhà kho lên xe tải nhỏ; lời thuyết minh nói về việc tận dụng lợi thế đất đai, đẩy mạnh cơ giới hóa và ứng dụng khoa học kỹ thuật trong canh tác lúa để giảm chi phí, tăng thu nhập và phát triển sản xuất gạo hữu cơ an toàn.",1,1,0
q_4d4eac1c7a21fa61,"Tìm hình ảnh một nhóm đại biểu nam nữ đứng trong lễ khánh thành, nhiều phụ nữ mặc áo dài đỏ và trước mặt có các bục phủ vải đỏ; lời phát biểu cảm ơn sự cố gắng của mọi người, đặc biệt là lãnh đạo thành phố đã huy động sức mạnh tổng hợp để triển khai dự án.",4,4,0
q_a1aa09f704b4c83d,"Tìm hình ảnh một người đàn ông đang ngồi trong bụi tre và chỉ vào các thân tre non; lời nói giải thích chỉ nên chặt lấy phần non phía trên, giữ lại phần già bên dưới để cây tiếp tục mọc măng mới.",1,1,0
q_0df6e57b33e56326,"Tìm hình ảnh một tấm bia đá lớn khắc nhiều dòng chữ Khmer, viền chạm hoa văn trang trí cầu kỳ tại khuôn viên chùa; lời thuyết minh nói đây là một ngôi chùa tiêu biểu cho kiến trúc chùa tháp Khmer Nam Bộ, nổi bật với hình tượng rắn thần Naga và các bảo tháp cao vút.",5,5,0
q_bac2afad58b66404,"Tìm hình ảnh bảng hiệu “Câu lạc bộ Phụ nữ khuyết tật xã Tân Bằng” thuộc Hội Bảo trợ người khuyết tật, trẻ mồ côi huyện Thới Bình, tỉnh Cà Mau; trên bảng có nội dung dạy nghề, sản xuất kinh doanh các sản phẩm thủ công mỹ nghệ và các mặt hàng thủy sản.",3,3,0
q_0206c453f9f279c8,"Tìm hình ảnh bài giảng Toán về phương trình mặt phẳng trong không gian Oxyz; bài toán yêu cầu viết mặt phẳng (P) đi qua A(3;2;-5) và vuông góc với đường thẳng d có vectơ chỉ phương (2;1;0), với lời giải suy ra phương trình mặt phẳng là 2x + y - 8 = 0.",2,2,0
q_6a5fc5938801ab91,"Tìm hình ảnh một người đang dùng tay chỉ vào bản nhạc trong cuốn sách mở, trên trang có các nốt nhạc và hợp âm; lời thuyết minh nói về việc thiết kế giáo án riêng cho học viên lớn tuổi và truyền đạt kiến thức âm nhạc theo cách đơn giản để người học dễ nắm bắt.",1,1,0
q_553ee264eded6868,"Tìm hình ảnh một nữ MC mặc áo dài đang ngồi trò chuyện với một người đàn ông lớn tuổi trước Phủ thờ Chủ tịch Hồ Chí Minh, trên công trình có ghi ngày sinh 19/5/1890 và ngày từ trần 2/9/1969; lời thuyết minh nói về sự đa dạng của thiên nhiên, con người nơi đây và mời khán giả tiếp tục theo dõi chương trình.",1,1,0
q_194c1d20e3aca350,"Tìm hình ảnh Tiến sĩ Đinh Thế Hiển, chuyên gia kinh tế, đang trả lời phỏng vấn trong phòng; bản tin đề cập thị trường bất ngờ chững lại trong tháng 7/2024, trong khi lời nói nhắc đến tình trạng đầu cơ trục lợi, việc Nhà nước cần tăng cường quản lý và hạn chế người mua chỉ để bán lại kiếm lời.",3,3,0
q_806d650b572067a2,"Tìm hình ảnh một tuyến đường đô thị có nhiều xe máy đang lưu thông, trong đó một người chở các thùng carton lớn buộc phía sau xe; bên trái đường có hàng rào chắn, bên phải là hàng cây và phía xa có các biển chỉ dẫn giao thông màu xanh.",1,9,-8
q_0b59fdf43d6d1cc9,"Tìm hình ảnh một quầy bán hải sản khô trong chợ, phía trước bày rất nhiều túi tôm khô màu cam và các loại cá khô trên bàn, người bán đang ngồi đóng gói hàng, phía sau là các sạp hàng và biển hiệu.",11,11,0
q_ad1631fc8a794d71,Tìm hình ảnh một bia đá lớn khắc bài thơ “Đông Hồ Ấn Nguyệt” trong khuôn viên có nhiều cây xanh; lời thuyết minh nhắc đến Tao Đàn Chiêu Anh Các do Mạc Thiên Tích sáng lập và cho biết những bài thơ được lưu truyền đã góp phần đặt nền móng cho sự phát triển văn hóa ở Kiên Giang.,6,5,1
q_6e171ab8f410e8c8,"Tìm hình ảnh một cổng cưới miền Tây được trang trí bằng lá dừa và hoa màu vàng xanh, phía trên có chữ “Lễ Đính Hôn”; lời thuyết minh nói về những chiếc cổng cưới bằng lá dừa như một nét đẹp văn hóa của người dân vùng Đồng bằng sông Cửu Long.",3,3,0
q_9fe0761a2e18ada0,"Tìm hình ảnh một phụ nữ đứng trong phòng trưng bày, xung quanh treo nhiều ảnh tư liệu, thư pháp và tài liệu đóng khung trên tường; phía trước có tủ kính trưng bày hiện vật.",15,21,-6
